EN;A ce monde que tu fais
COM;A l'image de ton amour
EN/FIN;A mon rythme
FIN;Nous t'adorons
GL/P;A toi la Gloire, O Ressuscité !
EN/GL/P;A Toi nos cris de joie
EN;A Toi puissance et Gloire, à Toi honneur et force
AC;Acceptes-tu ?
AL/CAR;Acclamation en carême
FIN;Dieu notre Père, Christ et Seigneur
S/AN;Acclamations pour la prière eucharistique
PU;Accueille au creux de tes mains
S;Saint Le Seigneur
OF;Adorez-le
FIN;Ne rentrez pas chez vous comme avant
S;Saint, Le Seigneur
AG;Agneau de Dieu de Mozart
AG;Agneau de Dieu qui prends nos péchés
AG;Agneau de Dieu, Agneau vainqueur
AG;Agneau de Dieu, le Fils du Père, écoute-nous et prend pitié
EN/P;Joyeuse lumière
AG;Agneau de Dieu, tu as ouvert le livre
COM;Agneau de l'alliance fidèle
AG;Agneau sans tâche 
K;Aie pitié de moi, Seigneur
OF;Aimer c'est tout donner
EN/FIN;Alegria !
AL;Allé-alléluia
AL;Allélouya congolais
AL;Alléluia  Ap 15
AL;Alléluia
PEN;Viens, Esprit de Sainteté, Viens, Esprit de lumière
AL;formidable
AL;Alléluia 20
COM;Prenez et mangez
AL/P;Alléluia Christ est vivant, il est ressuscité
AL;Alléluia Hé
FIN;La pierre qui était rejetée
OF/PEN;Jésus, Toi qui as promis
HO;Je sais que tu veux mon bonheur
GL/EN/FIN;Comment ne pas te louer
FIN;Evenou Shalom Alérhem
AL;Alléluia Un Seul Nom
AG;Nous vous annonçons la Paix
AL;Alléluia, Christ est lumière, Christ est vivant par son Esprit
P;Alléluia, Christ est vivant
P;Alléluia, Jésus sauveur
GL;Gloire à Dieu dans le ciel, grande paix sur la terre
AV/AL;Alléluia, tu es venu nous chercher
COM;Allez à Jésus
FIN;Allez dire à tous les hommes, le royaume est parmi vous
FIN;Allez dire à tous les hommes, le temps de Dieu est arrivé
EN/OF/COM;Je vous ai choisis
PS;Venez, crions de joie
EN;Allons tous ensemble
PS;Le Seigneur est roi
PS/AV;Alors notre bouche était pleine de rires
PRO;Amazing Grace
COM;Ame du Christ, sanctifie-moi
ME;Messe du Frat
AN;Anamnèse
EN;Appelés à la liberté
BAP/AL;J'ai vu l'eau vive
FIN;Garde ta lampe
OF;Approchons-nous de la table
FIN;Espère dans le Seigneur
EN/HO/P;Au cœur de nos détresses
COM;Au creux de tes mains
EN/HO/CAR;Au désert avec l'Esprit - Tu nous précèdes au désert
EN/P;Au matin dans la clarté
EN/FIN/AV;Aube nouvelle
OF;Aucune ombre
FIN;Au-delà de toute frontière, l'Evangile a croisé nos chemins
COM;Ô mon âme, bénis le Seigneur
AC/OF;Bless the Lord My Soul
GL/EN/AL;Alléluia, ta splendeur est chantée
EN/FIN;Bénissez Dieu, vous serviteurs de Dieu
M;Ave Maria
M/GL;Ave Maria
PRO;Ave verum corpus
EN/CAR;Avec toi, nous irons au désert
PRO;I need thee every hour
BAP/FIN/HO/P;Baptisés dans la lumière de Jésus
HO;Béni sois-tu, Seigneur Jésus, toi notre pâque éternelle
EN/CAR;Béni soit Dieu le Père
AV/N;La Voici, la nuit de Dieu
