# Etapes de la célébration :
# ---------------------------
# 01:   EN: Entrée / ouverture
# 02:	K:  Kyrie / chant de pénitence / rite ou litanie ou prière pénitentiel / "prends pitié de nous" / "pardon"
# 03:	GL: Gloire A Dieu, au Père / louange / Gloria
# 04:	PS: Psaume responsorial / psalmodié	Liturgie de la Parole
# 05:	AL: Alléluia / acclamation de l'Evangile
# 06:	HO: Chant après l'homélie, après la Parole / litanie / cantique / interlude / répons / hymne
# 07:	CR: Credo / profession de foi / "je crois"
# 08:	PU: Prière universelle / "court"
# 09:	OF: Offertoire / offrandes / préparation des dons / méditation / "esprit" / "cri" / "amour" / ostinato / ce qu'on donne à Dieu
# 10:	S:  Sanctus / Hosanna / louange eucharistique / "Saint le Seigneur"	Liturgie de l'Eucharistie / Paroles de la consécration
# 11:	AN: Acclamations de la prière eucharistique / épiclèses	/ Anamnèse
# 12:	DOX:    Doxologie / "Par Lui, avec Lui et en Lui"
# 13:	NP: Notre Père / oraison dominicale
# 14:	AG: Agneau de Dieu / Agnus Dei / fraction du pain / "paix"
# 15:	COM:    Communion / "pain" / eucharistie
# 16:	AC: Action de grâce / bénédiction / "Louez Dieu" / Laudate Dominum / adoration eucharistique
# 17:   M: Chant à Marie
# 18:	FIN:    Envoi / final
# ========================================
# Temps de l'année liturgique :
# ------------------------------
# 01:	CAR:    Mercredi des cendres / jeudi, vendredi saint / Carême	40 jours avant Pâques
# 02:	P:  Pâques	entre le 22 mars et le 25 avril
# 03:	A:  Ascencion	40 jours après Pâques
# 04:	PEN:    Pentecôte / Esprit Saint	50 jours après Pâques
# 05:	M:  Marie / Assomption	15 août ou 01 janvier
# 06:	TOU:    Toussaint	01-nov
# 07:	AV: Avent	4ème dimanche avant Noël
# 08:	N:  Noël	25-déc
# 09:	EP: Epiphanie	06-janv
# 10:	ME: Ordinaires de messe
# 11:	PRO:    Profane
# 12:	D:  Divers
# 13:	BAP:    Baptême
# 14:	FET:    Fêtes / solennités (mariage, ordination etc)
# 15:	SEM:    Messe en semaine
# 16:	TO: Temps ordinaire
# ========================================
EN;A ce monde que tu fais
COM;A l'image de ton amour
EN/FIN;A mon rythme
FIN;Nous t'adorons
GL/P;A toi la Gloire, O Ressuscité !
EN/GL/P;A Toi nos cris de joie
EN;A Toi puissance et Gloire, à Toi honneur et force
AC;Acceptes-tu ?
AL/CAR;Acclamation en carême
FIN;Dieu notre Père, Christ et Seigneur
S/AN;Acclamations pour la prière eucharistique
PU;Accueille au creux de tes mains
S;Saint Le Seigneur
OF;Adorez-le
FIN;Ne rentrez pas chez vous comme avant
S;Saint, Le Seigneur
AG;Agneau de Dieu de Mozart
AG;Agneau de Dieu qui prends nos péchés
AG;Agneau de Dieu, Agneau vainqueur
AG;Agneau de Dieu, le Fils du Père, écoute-nous et prend pitié
EN/P;Joyeuse lumière
AG;Agneau de Dieu, tu as ouvert le livre
COM;Agneau de l'alliance fidèle
AG;Agneau sans tâche 
K;Aie pitié de moi, Seigneur
OF;Aimer c'est tout donner
EN/FIN;Alegria !
AL;Allé-alléluia
AL;Allélouya congolais
AL;Alléluia  Ap 15
AL;Alléluia
PEN;Viens, Esprit de Sainteté, Viens, Esprit de lumière
AL;formidable
AL;Alléluia 20
COM;Prenez et mangez
AL/P;Alléluia Christ est vivant, il est ressuscité
AL;Alléluia Hé
FIN;La pierre qui était rejetée
OF/PEN;Jésus, Toi qui as promis
HO;Je sais que tu veux mon bonheur
GL/EN/FIN;Comment ne pas te louer
FIN;Evenou Shalom Alérhem
AL;Alléluia Un Seul Nom
AG;Nous vous annonçons la Paix
AL;Alléluia, Christ est lumière, Christ est vivant par son Esprit
P;Alléluia, Christ est vivant
P;Alléluia, Jésus sauveur
GL;Gloire à Dieu dans le ciel, grande paix sur la terre
AV/AL;Alléluia, tu es venu nous chercher
COM;Allez à Jésus
FIN;Allez dire à tous les hommes, le royaume est parmi vous
FIN;Allez dire à tous les hommes, le temps de Dieu est arrivé
EN/OF/COM;Je vous ai choisis
PS;Venez, crions de joie
EN;Allons tous ensemble
PS;Le Seigneur est roi
PS/AV;Alors notre bouche était pleine de rires
PRO;Amazing Grace
